"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_droppoint.xml:29","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/text","""그만! 그만! 노예를 보내줄테니 우릴 보내줘. 우릴 죽이면, 이 새끼들도 다같이 뒤지는거야!""","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/text","","","",""
"src-en/data/events_droppoint.xml:31","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[1]/text","제안을 받아들인다.","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[1]/text","","","",""
"src-en/data/events_droppoint.xml:38","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[2]/text","항복이란 선택은 없다.","data/events_droppoint.xml$/FTL/ship[@name=""SHIP_SLAVER_START""]/surrender/choice[2]/text","","","",""
"src-en/data/events_droppoint.xml:58","data/events_droppoint.xml$/FTL/event[@name=""SPECIAL_DROPPOINT""]/text","오류 요류 오류 이건 오류입니다!
	당신은 이 오류를 볼 수 없을 것 입니다! 가능한 아래의 내용을 포함하여 많은 세부사항을 멀티버스 개발 디스코드에 보고해주십시오;
	섹터 #
	섹터 유형
	송신소 타입 (성운/빈 송신소, 구조 신호, 상점, 마킹되지않은 송신소 등...)
	멀티버스 버전과 하이퍼 스페이스 버전","data/events_droppoint.xml$/FTL/event[@name=""SPECIAL_DROPPOINT""]/text","","","",""
"src-en/data/events_droppoint.xml:82","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[1]","""으엑, 니가 우리가 유니버스 1에서 만나기 위해 계속 여행한 함선 맞나? 사람들이 니가 위협적인 존재라고 말했었는데."" 이 사람들에게 당신을 과소평가하지 말라는 걸 보여줘야 할 것 같습니다.","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[1]","","","",""
"src-en/data/events_droppoint.xml:83","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[2]","""내 매복에 걸려든 거 같군! 으헤 헤 헤! 헤. 헤... 죽어라."" 반군 함선이 공격을 시작했습니다.","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[2]","","","",""
"src-en/data/events_droppoint.xml:84","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[3]","""여기 온 건 네 실수야, 친구. 더 할 말은 없다!"" 누군가에게는 마지막이지만, 당신은 아니길 바랍니다!","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[3]","","","",""
"src-en/data/events_droppoint.xml:85","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[4]","반군 함장은 아무 말도 하지 않고 손가락으로 총을 흉내 내며 목에 선을 그었습니다. 반군이 언제부터 이렇게 유치해졌죠?","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[4]","","","",""
"src-en/data/events_droppoint.xml:86","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[5]","반군 선장은 당신의 함선을 보고 웃음을 터뜨렸습니다. 당신은 이 모욕을 가볍게 여기지 않습니다. 그들의 무기가 발포되었기 때문에 선택의 여지는 없었습니다!","data/events_droppoint.xml$/FTL/textList[@name=""TEXT_FINISH_BEACON_DROPPOINT_ENCOUNTER""]/text[5]","","","",""
"src-en/data/events_droppoint.xml:92","data/events_droppoint.xml$/FTL/event[@name=""FINISH_BEACON_DROPPOINT_ENCOUNTER_CASUAL""]/choice/text","계속...","data/events_droppoint.xml$/FTL/event[@name=""FINISH_BEACON_DROPPOINT_ENCOUNTER_CASUAL""]/choice/text","","","",""
