"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_transports.xml:14","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/text","수송선을 파괴했지만 화물은 남아있지 않았습니다. 당황한 당신은 선체의 잔해와 주위를 떠다니는 약간의 보급품을 수거했습니다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/text","","","",""
"src-en/data/events_transports.xml:17","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[1]/text","(스크랩 팔) 팔을 사용해 추가적인 스크랩을 모은다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[1]/text","","","",""
"src-en/data/events_transports.xml:23","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[2]/text","(드론 팔) 팔을 사용해 추가적인 드론 부품을 모은다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[2]/text","","","",""
"src-en/data/events_transports.xml:29","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[3]/text","(자석 팔) 자석을 사용해 추가적인 자원을 끌어 모은다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[3]/text","","","",""
"src-en/data/events_transports.xml:35","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[4]/text","계속...","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_DESTROYED""]/choice[4]/text","","","",""
"src-en/data/events_transports.xml:49","data/events_transports.xml$/FTL/ship[@name=""SHIP_CIVILIAN_TRANSPORT_LOOT""]/escape/text","그들은 싸우고 싶지 않은 것 같습니다. 그들이 탈출을 시도합니다.","data/events_transports.xml$/FTL/ship[@name=""SHIP_CIVILIAN_TRANSPORT_LOOT""]/escape/text","","","",""
"src-en/data/events_transports.xml:60","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/unvisitedTooltip","방문하지 않은 송신소 입니다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/unvisitedTooltip","","","",""
"src-en/data/events_transports.xml:61","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/visitedTooltip","이미 방문한 송신소 입니다. 더 이상 흥미로운 것은 없습니다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/visitedTooltip","","","",""
"src-en/data/events_transports.xml:62","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/undiscoveredTooltip","방문하지 않은 송신소 입니다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/beaconType/undiscoveredTooltip","","","",""
"src-en/data/events_transports.xml:64","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/text","이 송신소에는 민간인 수송선이 있습니다. 이 함선은 특별한 병기를 싣고 있을 가능성이 높습니다. 나포할 수 있다면 그들의 화물을 얻게 될 것입니다.","data/events_transports.xml$/FTL/event[@name=""TRANSPORT_CIVILIAN_LOOT""]/text","","","",""
