"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_standard.xml:4","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/text","당신은 이미 이곳에 온 적이 있습니다. 더 이상 흥미로운 건 없습니다.","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/text","","","",""
"src-en/data/events_standard.xml:6","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:10","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""REVISIT""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:50","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL_GENERIC""]/choice/text","계속...","data/events_standard.xml$/FTL/event[@name=""TRADELIST_RESOURCES_FUEL_GENERIC""]/choice/text","","","",""
"src-en/data/events_standard.xml:782","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_GENERIC""]/text","쇼핑하기에 앞서 함선에서 무언가를 할만한 시간이 있습니다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_GENERIC""]/text","","","",""
"src-en/data/events_standard.xml:784","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_GENERIC""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_GENERIC""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:788","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_GENERIC""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_GENERIC""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:794","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOSYS""]/text","쇼핑하기에 앞서 함선에서 무언가를 할만한 시간이 있습니다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOSYS""]/text","","","",""
"src-en/data/events_standard.xml:796","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOSYS""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOSYS""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:800","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOSYS""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOSYS""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:806","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOCREW""]/text","쇼핑하기에 앞서 함선에서 무언가를 할만한 시간이 있습니다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOCREW""]/text","","","",""
"src-en/data/events_standard.xml:808","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOCREW""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOCREW""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:812","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOCREW""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_NOCREW""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:818","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ENGI""]/text","쇼핑하기에 앞서 함선에서 무언가를 할만한 시간이 있습니다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ENGI""]/text","","","",""
"src-en/data/events_standard.xml:820","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ENGI""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ENGI""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:824","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ENGI""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ENGI""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:830","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ZOLTAN""]/text","쇼핑하기에 앞서 함선에서 무언가를 할만한 시간이 있습니다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ZOLTAN""]/text","","","",""
"src-en/data/events_standard.xml:832","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ZOLTAN""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ZOLTAN""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:836","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ZOLTAN""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ZOLTAN""]/choice[2]/text","","","",""
"src-en/data/events_standard.xml:842","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ORCHID""]/text","쇼핑하기에 앞서 함선에서 무언가를 할만한 시간이 있습니다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ORCHID""]/text","","","",""
"src-en/data/events_standard.xml:844","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ORCHID""]/choice[1]/text","함선에서 무언가를 한다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ORCHID""]/choice[1]/text","","","",""
"src-en/data/events_standard.xml:848","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ORCHID""]/choice[2]/text","아무것도 하지 않는다.","data/events_standard.xml$/FTL/event[@name=""STORE_LOAD_ORCHID""]/choice[2]/text","","","",""
