"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_leech.xml:36","data/events_leech.xml$/FTL/textList[@name=""TEXT_LEECH_SPACE_TRASH""]/text[1]","It's only here in Leech space that you could expect to find immense volumes of garbage littering the cosmos. This beacon is abandoned save for all of the trash, so perhaps you could take advantage of it?","data/events_leech.xml$/FTL/textList[@name=""TEXT_LEECH_SPACE_TRASH""]/text[1]","","","",""
"src-en/data/events_leech.xml:37","data/events_leech.xml$/FTL/textList[@name=""TEXT_LEECH_SPACE_TRASH""]/text[2]","Several large chunks of debris almost collide with your ship, but fortunately you're able to swerve out of the way. Looks like the nearby region is littered with space trash left behind by the Leeches.","data/events_leech.xml$/FTL/textList[@name=""TEXT_LEECH_SPACE_TRASH""]/text[2]","","","",""
"src-en/data/events_leech.xml:38","data/events_leech.xml$/FTL/textList[@name=""TEXT_LEECH_SPACE_TRASH""]/text[3]","A black bag filled with toiletries and used food wrappers splatters on your windshield. Disgusting, but it looks like the rings of garbage all around this system might contain some hidden treasures.","data/events_leech.xml$/FTL/textList[@name=""TEXT_LEECH_SPACE_TRASH""]/text[3]","","","",""
"src-en/data/events_leech.xml:44","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[1]/text","Salvage some of the junk.","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[1]/text","","","",""
"src-en/data/events_leech.xml:48","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/text","Do something else aboard the ship.","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/text","","","",""
"src-en/data/events_leech.xml:50","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/event/text","You've decided to use this beacon to do something aboard the ship instead.","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/event/text","","","",""
"src-en/data/events_leech.xml:52","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/event/choice[1]/text","Do something onboard the ship.","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_leech.xml:56","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/event/choice[2]/text","Do nothing.","data/events_leech.xml$/FTL/event[@name=""LEECH_SPACE_TRASH""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_leech.xml:64","data/events_leech.xml$/FTL/eventList[@name=""LEECH_SPACE_TRASH_SEARCH""]/event[1]/text","Looks like most of the trash is just scrap, except for a few fuel cells that must have been discarded on accident.","data/events_leech.xml$/FTL/eventList[@name=""LEECH_SPACE_TRASH_SEARCH""]/event[1]/text","","","",""
"src-en/data/events_leech.xml:68","data/events_leech.xml$/FTL/eventList[@name=""LEECH_SPACE_TRASH_SEARCH""]/event[2]/text","Most of the stuff is worthless, save for what looks to be a weapon! It's old and rusty, but a gun is a gun, and you aren't complaining!","data/events_leech.xml$/FTL/eventList[@name=""LEECH_SPACE_TRASH_SEARCH""]/event[2]/text","","","",""
"src-en/data/events_leech.xml:72","data/events_leech.xml$/FTL/eventList[@name=""LEECH_SPACE_TRASH_SEARCH""]/event[3]/text","Looks like all the trash field has to offer is some measly scrap. Nevertheless, it's still something.","data/events_leech.xml$/FTL/eventList[@name=""LEECH_SPACE_TRASH_SEARCH""]/event[3]/text","","","",""
"src-en/data/events_leech.xml:78","data/events_leech.xml$/FTL/event[@name=""NEBULA_LEECH_PSA""]/text","A nearby Leech medical outpost hails you. Looks like they have some important message to relay.","data/events_leech.xml$/FTL/event[@name=""NEBULA_LEECH_PSA""]/text","","","",""
"src-en/data/events_leech.xml:82","data/events_leech.xml$/FTL/event[@name=""NEBULA_LEECH_PSA""]/choice[1]/text","Listen.","data/events_leech.xml$/FTL/event[@name=""NEBULA_LEECH_PSA""]/choice[1]/text","","","",""
"src-en/data/events_leech.xml:84","data/events_leech.xml$/FTL/event[@name=""NEBULA_LEECH_PSA""]/choice[1]/event/text","""Mental health is no laughing matter. Depression can be tough to go through, but just remember that you aren't alone. No matter where you are in life, you can't give up. Your family and friends are here for you. If you or a loved one is struggling with depression or suicidal thoughts, seek help and don't let it go untreated.""","data/events_leech.xml$/FTL/event[@name=""NEBULA_LEECH_PSA""]/choice[1]/event/text","","","",""
