"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_cultist.xml:28","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS""]/text","You've arrived at the original Crystal Homeworlds, and already you can see the aftermath of the brutal invasion of tourists and ""pioneers"". The skeletons of Crystal structures dot the surface of the planet of which the entry beacon is concerningly close...","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS""]/text","","","",""
"src-en/data/events_cultist.xml:33","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS""]/choice[1]/text","Continue...","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS""]/choice[1]/text","","","",""
"src-en/data/events_cultist.xml:37","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS""]/choice[2]/text","We've been here before...","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS""]/choice[2]/text","","","",""
"src-en/data/events_cultist.xml:52","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN""]/text","You've arrived at the original Crystal Homeworlds, and already you can see the aftermath of the brutal invasion of tourists and ""pioneers"". The skeletons of Crystal structures dot the surface of the planet of which the entry beacon is concerningly close...
	
	NOTE FROM THE DEVS:
	This sector/questline is in a transitional period. Certain elements/dialogue might not make sense. It will be redone in a later (but hopefully soon) update. The current questline/unlock however should at least be functional as they were before for the time being.","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN""]/text","","","",""
"src-en/data/events_cultist.xml:62","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN""]/choice/text","Continue...","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN""]/choice/text","","","",""
"src-en/data/events_cultist.xml:68","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN_2""]/text","Ruwen explains to you the situation. The item you're looking for is the Waystone Key, a device used to activate or shut down the old waystone. The Crystals need it back so they can activate the new waystone that they are constructing. He transfers the co-ordinates to your ship.","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN_2""]/text","","","",""
"src-en/data/events_cultist.xml:71","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN_2""]/choice[1]/text","Continue...","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN_2""]/choice[1]/text","","","",""
"src-en/data/events_cultist.xml:75","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN_2""]/choice[2]/text","We've been here before...","data/events_cultist.xml$/FTL/event[@name=""START_ORIGINS_RUWEN_2""]/choice[2]/text","","","",""
"src-en/data/events_cultist.xml:90","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/text","A strange vessel in Crystalline and regal gold colors is guarding the beacon. It appears to be... of Rock design? You've never seen a ship like this before...","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/text","","","",""
"src-en/data/events_cultist.xml:93","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/text","Continue...","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/text","","","",""
"src-en/data/events_cultist.xml:95","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/text","The ship moves closer, enough for you to make out the logo of a burning Crystal on the ship's hull. You receive a hail from a burly Rockman decorated in stylish blue robes with golden decals lining the hood and sleeves. His face bears the frown of a man not happy to see another ship in his territory.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/text","","","",""
"src-en/data/events_cultist.xml:97","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/text","Continue...","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/text","","","",""
"src-en/data/events_cultist.xml:99","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/text","""You! An outsider? Have you come for riches? Fame? A nice relaxing vacation here in paradise? Well get lost, you aren't gettin' none of that! This sector belongs to the Cult of the Eternal Flame now! You ain't welcome here, unless you bear the mark of the Ember!""","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/text","","","",""
"src-en/data/events_cultist.xml:101","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[1]/text","The who?","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[1]/text","","","",""
"src-en/data/events_cultist.xml:103","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[1]/event/text","The cultist grumbles. ""Nevermind it, you won't be alive for long.""","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[1]/event/text","","","",""
"src-en/data/events_cultist.xml:106","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[1]/event/choice/text","Continue...","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_cultist.xml:112","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[2]/text","(Vortigon) This vessel has permission from the Grand Priest to travel here.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[2]/text","","","",""
"src-en/data/events_cultist.xml:114","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[2]/event/text","The Cultists pause, and quickly apologize. Terrified of Vortigon's wrath, they hand over some supplies and beg for forgiveness.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[2]/event/text","","","",""
"src-en/data/events_cultist.xml:119","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[3]/text","(Cultist Crew) Show them proof of your loyalty.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[3]/text","","","",""
"src-en/data/events_cultist.xml:121","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[3]/event/text","The cultist gives a large, hearty laugh. ""Hah! Brother, it is good to see you. How have you been? It has been so long since I have seen you, I thought you had died. So few of us have left this sector in such a long time... maybe I shall come with you so I can hear the tales of your travels.""","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[3]/event/text","","","",""
"src-en/data/events_cultist.xml:126","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[4]/text","(Crystal Crew) Reason with the cultists.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[4]/text","","","",""
"src-en/data/events_cultist.xml:128","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[4]/event/text","""Gasp! An Ember, you are one of those who paved the very infrastructure for which this sector was constructed from! I thought you had left us mortals behind in your Exodus from this territory. Oh heavens be, please grant me passage on your vessel.""","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[4]/event/text","","","",""
"src-en/data/events_cultist.xml:133","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[5]/text","(Mind Control) Convince the guard to leave you alone.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[5]/text","","","",""
"src-en/data/events_cultist.xml:137","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[6]/text","(Cloaking) Cloak and try to escape.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[6]/text","","","",""
"src-en/data/events_cultist.xml:141","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[7]/text","(Adv. Engines) Try to escape the guard.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[7]/text","","","",""
"src-en/data/events_cultist.xml:145","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[8]/text","(Adv. Autopilot) Activate the auto-pilot to try and escape.","data/events_cultist.xml$/FTL/event[@name=""GUARD_CULTIST""]/choice/event/choice/event/choice[8]/text","","","",""
