"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_hektar.xml:4","data/events_hektar.xml$/FTL/event[@name=""TEST_HEKTAR_STORE""]/text","","data/events_hektar.xml$/FTL/event[@name=""TEST_HEKTAR_STORE""]/text","","","",""
"src-en/data/events_hektar.xml:13","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/text","이 조난 신호는 당신을 예상치 못한 곳으로 데려갔습니다. 무성한 테라포밍 천국, 그 중심에는 헥타르 HQ 외에 다른 곳이 없는 거대한 고리 모양의 건축물이 있었습니다. 이상하게도 조난 신호는 몇 가지 특정 주파수에서만 방송되고 있으며, 그 중 하나는 비밀스러운 연합 채널이었습니다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/text","","","",""
"src-en/data/events_hektar.xml:17","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/text","조사한다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/text","","","",""
"src-en/data/events_hektar.xml:19","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/text","당신이 HQ 착륙 패드에 착륙하는 동안, 경비들이나 검문소 같은 것이 어디에도 없다는 사실에 놀랐습니다. 그러나 건물에 가까이 가보니 다소 위험해 보이는 보안 시스템에 의해 접근이 차단되어 있습니다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/text","","","",""
"src-en/data/events_hektar.xml:21","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/text","접근 권한을 얻으려 시도한다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_hektar.xml:23","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/text","진입을 시도하려 하니 알람이 울리고 배를 공격하는 보안 포탑이 작동했습니다! 다행히도 당신은 그것들을 끄고 다시 들어 올 수 있었지만, 당신의 함선은 상당한 피해를 받았습니다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_hektar.xml:26","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/choice/text","계속...","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_hektar.xml:32","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[2]/text","(헥타르 직원) 접근 권한을 얻으려 시도한다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_hektar.xml:36","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[3]/text","(고급 해킹 장비) 접근 권한을 얻으려 시도한다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[3]/text","","","",""
"src-en/data/events_hektar.xml:40","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[4]/text","(Phasing Crew) 접근 권한을 얻으려 시도한다.","data/events_hektar.xml$/FTL/event[@name=""HEKTAR_HEADQUARTERS""]/choice[1]/event/choice[4]/text","","","",""
