"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_ruins.xml:24","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[1]","당신 앞에는 달 표면에 위치한 거대한 모노리스 구조물이 놓여 있었습니다. 외관은 온통 검은색이며 여기저기에 희미한 불빛이 몇 개 있습니다. 무언가 가치 있는 것이 있지 않을까요?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[1]","","","",""
"src-en/data/events_ruins.xml:25","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[2]","중앙이 갈라진 반쪽짜리 정육면체 모양의 함선이 인근 용암 행성에 추락해 있었습니다. 좌표가 위험 지대를 가리키지만, 무언가 쓸만한 게 남아 있을 수도 있습니다.","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[2]","","","",""
"src-en/data/events_ruins.xml:26","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[3]","당신의 앞에는 당신이 봐본 그 어떤 것과도 다른 폐허가 놓여 있었습니다. 온통 검은색이며 정육면체인 몇몇 거대한 함선의 골조가 이 송신소에 남아 있습니다. 어쩌면 여기서 무언가를 인양할 수 있지 않을까요?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[3]","","","",""
"src-en/data/events_ruins.xml:27","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[4]","당신이 가던 길에서 거대한 대형 정육면체 구조물이 짧지만 해독할 수 없는 메시지를 보내고 있었습니다. 메시지를 보낼만한 동력이 남아 있다면 무언가 가져갈 만한 것이 있지 않을까요?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[4]","","","",""
"src-en/data/events_ruins.xml:28","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[5]","당신은 끔찍하게 손상되고 잔혹하게 부서진 초대형 항공모함의 여파를 보고 있는 것 같습니다. 그 항공모함은 당신의 순양함이나 연방의 가장 큰 선박보다도 큽니다. 더 이상한 점은 잔해가 온통 검은색이며 정육면체라는 것입니다. 어쩌면 뭔가 건질만한 것이 있지 않을까요?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[5]","","","",""
"src-en/data/events_ruins.xml:29","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[6]","한 쌍의 이상하게 생긴 무인기 잔해가 거대한 정육면체 난파선 주위에 흩어져 있었습니다. 반군 무인기와는 디자인이 전혀 다르지만 스캔에 따르면 기술적으로는 유사한 것 같습니다. 어쩌면 이 함선에 쓸만한 병기가 있지 않을까요?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[6]","","","",""
"src-en/data/events_ruins.xml:30","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[7]","오래된 외계 선박의 잔해가 작고 얕게 퍼져 있는 소행성 지대에 휩쓸려 가고 있었습니다. 소행성 지대가 분명 어느정도 피해를 입혔지만 폭풍은 거의 지나갔고 더 이상 문제 될 것이 없습니다. 어쩌면 무언가 가치 있는 것이 남아있지 않을까요?","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS""]/text[7]","","","",""
"src-en/data/events_ruins.xml:37","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[1]/text","계속...","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[1]/text","","","",""
"src-en/data/events_ruins.xml:41","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[2]/text","계속...","data/events_ruins.xml$/FTL/event[@name=""RUINS_TRANSLATE""]/choice[2]/text","","","",""
"src-en/data/events_ruins.xml:46","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS_TRANSLATE""]/text[1]","""우리의 다음 목표는 성운이다. 자원은 적지만, 구름 속에 팬텀들이 말할 수 없는 보물들을 가지고 있다는 이야기들","data/events_ruins.xml$/FTL/textList[@name=""TEXT_RUINS_TRANSLATE""]/text[1]","","","",""
