"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_morality.xml:9","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL""]/text","[NOTORIETY INCREASED - GENERAL]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Federation or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Federation and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL""]/text","","","",""
"src-en/data/events_morality.xml:14","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/text","[NOTORIETY INCREASED - GENERAL]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Federation or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Federation and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:18","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/choice/text","Continue...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:24","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_GENERAL""]/text","[NOTORIETY DECREASED - GENERAL]
	You have done a good deed here in the eyes of the galaxy. If you've gained notoriety from other actions in the past, you're more likely to be forgiven for them.","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_GENERAL""]/text","","","",""
"src-en/data/events_morality.xml:36","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI""]/text","[NOTORIETY INCREASED - HARMONY]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Harmony or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Harmony and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI""]/text","","","",""
"src-en/data/events_morality.xml:41","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/text","[NOTORIETY INCREASED - HARMONY]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Harmony or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Harmony and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:45","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/choice/text","Continue...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:57","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN""]/text","[NOTORIETY INCREASED - MINISTRY]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Ministry or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Ministry and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN""]/text","","","",""
"src-en/data/events_morality.xml:62","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/text","[NOTORIETY INCREASED - MINISTRY]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Ministry or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Ministry and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:66","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/choice/text","Continue...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:78","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID""]/text","[NOTORIETY INCREASED - GATHERING]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Gathering or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Gathering and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID""]/text","","","",""
"src-en/data/events_morality.xml:83","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID_FIGHT""]/text","[NOTORIETY INCREASED - GATHERING]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Gathering or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Gathering and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:87","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID_FIGHT""]/choice/text","Continue...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:93","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_ORCHID""]/text","[NOTORIETY DECREASED - GATHERING]
	You have done a good deed here in the eyes of the Gathering. If you've gained notoriety from other actions in the past, you're more likely to be forgiven for them.","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_ORCHID""]/text","","","",""
"src-en/data/events_morality.xml:105","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_FREEMANTIS""]/text","[NOTORIETY INCREASED - FREE MANTIS]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Free Mantis. Continuously perform actions like this and you might start to see negative reactions from the Free Mantis and their allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_FREEMANTIS""]/text","","","",""
"src-en/data/events_morality.xml:110","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_FREEMANTIS_FIGHT""]/text","[NOTORIETY INCREASED - FREE MANTIS]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Free Mantis. Continuously perform actions like this and you might start to see negative reactions from the Free Mantis and their allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_FREEMANTIS_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:114","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_FREEMANTIS_FIGHT""]/choice/text","Continue...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_FREEMANTIS_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:127","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_CRYSTAL""]/text","[NOTORIETY INCREASED - CRYSTALLINE EMPIRE]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Empire or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Empire and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_CRYSTAL""]/text","","","",""
"src-en/data/events_morality.xml:132","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_CRYSTAL_FIGHT""]/text","[NOTORIETY INCREASED - CRYSTALLINE EMPIRE]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Empire or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Empire and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_CRYSTAL_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:136","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_CRYSTAL_FIGHT""]/choice/text","Continue...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_CRYSTAL_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:142","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_CRYSTAL""]/text","[NOTORIETY DECREASED - CRYSTALLINE EMPIRE]
	You have done a good deed here in the eyes of the Empire. If you've gained notoriety from other actions in the past, you're more likely to be forgiven for them.","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_CRYSTAL""]/text","","","",""
"src-en/data/events_morality.xml:153","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_SHELL""]/text","[NOTORIETY INCREASED - GENIOCRACY]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Geniocracy or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Geniocracy and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_SHELL""]/text","","","",""
"src-en/data/events_morality.xml:158","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_SHELL_FIGHT""]/text","[NOTORIETY INCREASED - GENIOCRACY]
	Your actions here, justifiable or not, will not reflect well in the eyes of the Geniocracy or its citizens. Continuously perform actions like this and you might start to see negative reactions from the Geniocracy and its allies.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_SHELL_FIGHT""]/text","","","",""
