"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_fleet.xml:72","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/text","출구 송신소를 발견했지만 반군이 먼저 도착해 있었습니다! 다음 구역으로 도약할 수 있을 때까지 충분히 긴 시간을 살아남아야 합니다.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/text","","","",""
"src-en/data/events_fleet.xml:78","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[1]/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:82","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[2]/text","(최고급 엔진) 엘리트로부터 탈출을 시도한다.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:86","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[3]/text","(제리) ""안녕하세요!""","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:93","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[4]/text","(위조 신분증) 엘리트를 속여본다.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ELITE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:99","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/text","출구 송신소를 발견했지만 반군이 먼저 도착해 있었습니다! 다음 구역으로 도약할 수 있을 때까지 충분히 긴 시간을 살아남아야 합니다.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/text","","","",""
"src-en/data/events_fleet.xml:105","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[1]/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:109","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[2]/text","(최고급 엔진) 엘리트로부터 탈출을 시도한다.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:113","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[3]/text","(제리) ""안녕하세요!""","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:120","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[4]/text","(위조 신분증) 엘리트를 속여본다.","data/events_fleet.xml$/FTL/event[@name=""FINISH_BEACON_FLEET_ACE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:127","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/text","반란군 함대가 당신을 발견했고, 근처의 정찰대가 교전 태세에 들어갑니다. 사거리 내에 있던 적의 순양함이 당신을 향해 발포하고 있습니다!","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/text","","","",""
"src-en/data/events_fleet.xml:133","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[1]/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:137","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[2]/text","(최고급 엔진) 엘리트로부터 탈출을 시도한다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:141","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[3]/text","(제리) ""안녕하세요!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:148","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[4]/text","(위조 신분증) 엘리트를 속여본다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:155","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/text","반란군 함대가 당신을 발견했고, 근처의 정찰대가 교전 태세에 들어갑니다. 접근해온 함선은 평범한 엘리트가 아니라 MFK 에이스였습니다! 대부분의 반군 함선보다 훨씬 강력하니 격파할 수만 있다면 함대를 조금 더 지연시킬 수 있을 것입니다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/text","","","",""
"src-en/data/events_fleet.xml:161","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[1]/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:165","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[2]/text","(최고급 엔진) 엘리트로부터 탈출을 시도한다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:169","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[3]/text","(제리) ""안녕하세요!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:176","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[4]/text","(위조 신분증) 엘리트를 속여본다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:183","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/text","엘리트로부터 탈출하지 못했습니다. 전투를 준비합니다.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/text","","","",""
"src-en/data/events_fleet.xml:185","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/choice/text","계속...","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[1]/choice/text","","","",""
"src-en/data/events_fleet.xml:190","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/text","엘리트로부터 탈출하지 못했습니다. 전투를 준비합니다.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/text","","","",""
"src-en/data/events_fleet.xml:192","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/choice/text","계속...","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[2]/choice/text","","","",""
"src-en/data/events_fleet.xml:197","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[3]/text","당신은 희박한 가능성을 뚫고 함대를 따돌렸습니다. 잠시 숨 돌릴 시간을 가집니다.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_ESCAPE""]/event[3]/text","","","",""
"src-en/data/events_fleet.xml:208","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_TRICK""]/event[5]/text","드물게도, 엘리트는 당신의 신분증을 수락해 통과시켜줄 만큼 당신에게 무관심했습니다. 그들이 당신이 한 일을 언제 눈치챌지 모르니 빨리 떠나는 게 좋겠습니다.","data/events_fleet.xml$/FTL/eventList[@name=""FLEET_TRICK""]/event[5]/text","","","",""
"src-en/data/events_fleet.xml:213","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/text","예상대로, 엘리트는 당신의 초보적인 시도에 속지 않습니다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/text","","","",""
"src-en/data/events_fleet.xml:215","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/choice/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FLEET_TRICK_BAD""]/choice/text","","","",""
"src-en/data/events_fleet.xml:284","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/text","반란군 함대가 당신을 발견했고, 근처의 정찰대가 교전 태세에 들어갑니다. 사거리 내에 있던 적의 순양함이 당신을 향해 발포하고 있습니다!","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/text","","","",""
"src-en/data/events_fleet.xml:292","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[1]/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[1]/text","","","",""
"src-en/data/events_fleet.xml:296","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[2]/text","(최고급 엔진) 엘리트로부터 탈출을 시도한다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[2]/text","","","",""
"src-en/data/events_fleet.xml:300","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[3]/text","(제리) ""안녕하세요!""","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[3]/text","","","",""
"src-en/data/events_fleet.xml:307","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[4]/text","(위조 신분증) 엘리트를 속여본다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ELITE_NEBULA""]/choice[4]/text","","","",""
"src-en/data/events_fleet.xml:314","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/text","반란군 함대가 당신을 발견했고, 근처의 정찰대가 교전 태세에 들어갑니다. 접근해온 함선은 평범한 엘리트가 아니라 MFK 에이스였습니다! 대부분의 반군 함선보다 훨씬 강력하니 격파할 수만 있다면 함대를 조금 더 지연시킬 수 있을 것입니다.","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/text","","","",""
"src-en/data/events_fleet.xml:322","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[1]/text","계속...","data/events_fleet.xml$/FTL/event[@name=""FLEET_ACE_NEBULA""]/choice[1]/text","","","",""
