"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_spider.xml:4","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/text","당신은 한 작은 우주정거장으로부터 탈출하고 있는 많은 배들을 발견했습니다. 민병대 함대가 그 주변에 배치되어 있습니다. 그중 하나가 교신해옵니다. ""민간인 여러분, 이곳의 행성계는 제한되어 있습니다. 즉시 떠날것을 요청합니다.""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/text","","","",""
"src-en/data/events_spider.xml:7","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/text","우린 민간인 함선이 아닙니다, 무엇이 문제입니까?","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/text","","","",""
"src-en/data/events_spider.xml:9","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/text","""연방 군사함선입니까? 제가 잘못알았군요. 이 정거장은 뭔가 이상하고... 거대한 외계 거미들에 의해 감염되어 있습니다. 혹시 이 감염을, 정거장에 너무 큰 피해를 입히지 않는 선에서 제거하실 수 있으십니까?""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/text","","","",""
"src-en/data/events_spider.xml:12","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/text","승낙한다.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/text","","","",""
"src-en/data/events_spider.xml:14","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/text","민병대가 정거장과 교전할 수 있는 허가를 내렸고, 마지막으로 두 가지 경고를 했습니다. ""우리는 이것들이 뭔지는 잘 모르겠지만, 아마 정거장의 시설을 계속 작동시킬 수 있는 것으로 보입니다. 필연적으로 정거장에 얼마정도의 피해를 입히는 것은 괜찮겠지만, 부탁건데 너무 많은 피해를 주지는 말아주십시오. 우리는 민간 재산을 파괴하고 다닐 수는 없습니다.""","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/text","","","",""
"src-en/data/events_spider.xml:17","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/choice/text","","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[1]/event/choice/text","","","",""
"src-en/data/events_spider.xml:23","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[2]/text","거절한다.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[1]/event/choice[2]/text","","","",""
"src-en/data/events_spider.xml:29","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/text","우린 민간인 함선이 아닙니다, 무엇이 문제입니까?","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/text","","","",""
"src-en/data/events_spider.xml:31","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/text","""음, 맞아! 당신은 그때 거미 문제를 해결하기 위해 보내졌던 함선이군요. 불행히도, 여전히 이곳 외곽쪽에 여전히 거미로 인한 문제가 남아있습니다. 이것들을 다시 한번 처리해 주싨 수 있으십니까?","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/text","","","",""
"src-en/data/events_spider.xml:34","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/text","승낙한다.","data/events_spider.xml$/FTL/event[@name=""SPIDER_QUEST_START""]/choice[2]/event/choice[1]/text","","","",""
