"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_shells.xml:46","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/text","셸들은 보통 성운으로 피신해 있는것을 선호하지만, 그중 하나가 멀리 떨어진 것 같습니다. 그들이 무기를 올리는 것으로 보아 당신이 그들을 사냥하러 왔다고 생각하는 것 같습니다!","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/text","","","",""
"src-en/data/events_shells.xml:49","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/choice/text","계속...","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_SHELL""]/choice/text","","","",""
"src-en/data/events_shells.xml:58","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_CLAN_SHELL_CLEARING""]/choice/text","계속...","data/events_shells.xml$/FTL/event[@name=""ENCOUNTER_CLAN_SHELL_CLEARING""]/choice/text","","","",""
"src-en/data/events_shells.xml:63","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[1]","당신은 클랜즈맨들이 성운밖에서 휴식하고있는 것을 발견했습니다. 하지만, 그들이 당신을 발견하자 마자 휴식을 포기하고 즉시 공격했습니다.","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[1]","","","",""
"src-en/data/events_shells.xml:64","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[2]","당신은 몇몇 클랜즈맨들이 셸 식민지를 공격하려는 계획을 알아챘고, 그들은 당신이 엿들었다는 것을 눈치채고 보복하려고 했습니다!","data/events_shells.xml$/FTL/textList[@name=""CLAN_FIGHT""]/text[2]","","","",""
"src-en/data/events_shells.xml:68","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/text","이 송신소에서는 셸과 클랜즈맨이 서로 개싸움에 들어선 것으로 보입니다. 앞으로 전진하려면 오로지 그들의 함선중 하나와 싸워야만 할 것으로 보입니다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/text","","","",""
"src-en/data/events_shells.xml:70","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/text","셸들을 공격한다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/text","","","",""
"src-en/data/events_shells.xml:72","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/text","당신은 셸 함선을 정면으로 공격했고, 클랜즈맨 함선은 탈출했습니다. 당연히도, 이들의 사냥에 대한 헌신은 연방에 죄를 지게 하는데 까지 이르지 못했고, 당신과 셸들을 홀로 남겨두고 도약했습니다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/text","","","",""
"src-en/data/events_shells.xml:75","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/choice/text","계속...","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_shells.xml:81","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/text","클랜즈맨을 공격한다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/text","","","",""
"src-en/data/events_shells.xml:83","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/text","당신은 클랜즈맨을 정면으로 공격했습니다. 셸들은 결과를 보기위해 머무르고 싶어하지는 않아보였고, 이내 도약했습니다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/text","","","",""
"src-en/data/events_shells.xml:86","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/choice/text","계속...","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[2]/event/choice/text","","","",""
"src-en/data/events_shells.xml:92","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[3]/text","(은폐장) 은폐하고 날아간다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[3]/text","","","",""
"src-en/data/events_shells.xml:96","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[4]/text","(고급 엔진) 날아간다.","data/events_shells.xml$/FTL/event[@name=""SHELL_CLAN_CHOICE""]/choice[4]/text","","","",""
"src-en/data/events_shells.xml:111","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/text","근처에 사람이 살고있지 않은 거대한 행성에 셸 과학자 한명이 떠돌고 있었습니다. 당신은 그 배로부터 교신을 받았습니다. ""아주 오래전에, 이 행서어엉에는 사아아람이 사아알기에 적합했을거라고 추측하고있습니다! 게다가, 셰에엘과 스으을러그의 종족 간에 잃어버린 연결고리를 가진 화서어억이 있을수우우도 있죠! 멋지지 않스으읍니까?""","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/text","","","",""
"src-en/data/events_shells.xml:116","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/text","흥미를 표한다.","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/text","","","",""
"src-en/data/events_shells.xml:118","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/event/text","""오, 이거스으을 흥미를 가진 다른 사아아람을 만나다니 정말 놀랍군요! 오, 오, 알겠습니다! 관시이임이 있다면 당시이인에게 의뢰가 하나 있어요. 이 행성에 제가 수우우집하고 시이잎은 화서어억 표본이 몇 개 있지만, 저희가 오래 있기에는 대기가 너무 뜨거워요. 우리를 위해 그것을 가져다 줄수우우 있나요? 회수우우는 그리 어렵진 않을겁니다, 근처에 버려진 채굴지역이 있을거에요.""","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/event/text","","","",""
"src-en/data/events_shells.xml:120","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/event/choice[1]/text","동의한다.","data/events_shells.xml$/FTL/event[@name=""NEBULA_SHELL_FOSSILS""]/choice[1]/event/choice[1]/text","","","",""
