"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_morality.xml:9","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL""]/text","[악명 증가 - 종합]
	당신이 여기서 한 행동은 정당하든 아니든 연방이 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 연방군과 그들의 동맹들로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL""]/text","","","",""
"src-en/data/events_morality.xml:14","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/text","[악명 증가 - 종합]
	당신이 여기서 한 행동은 정당하든 아니든 연방이 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 연방군과 그들의 동맹들로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:18","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/choice/text","계속...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_GENERAL_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:24","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_GENERAL""]/text","[악명 감소 - 종합]
	당신이 여기서 은하계에 선행을 베풀었습니다. 만약 당신이 과거에 다른 행동으로 악명을 얻었다면 악행을 용서받을 가능성이 더 높아집니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_REMOVE_GENERAL""]/text","","","",""
"src-en/data/events_morality.xml:36","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI""]/text","[악명 증가 - 하모니]
	당신이 여기서 한 행동은 정당하든 아니든 하모니가 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 하모니와 그들의 동맹으로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI""]/text","","","",""
"src-en/data/events_morality.xml:41","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/text","[악명 증가 - 하모니]
	당신이 여기서 한 행동은 정당하든 아니든 하모니가 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 하모니와 그들의 동맹으로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:45","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/choice/text","계속...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ENGI_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:57","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN""]/text","[악명 증가 - 내각]
	당신이 여기서 한 행동은 정당하든 아니든 내각이 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 내각과 그들의 동맹으로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN""]/text","","","",""
"src-en/data/events_morality.xml:62","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/text","[악명 증가 - 내각]
	당신이 여기서 한 행동은 정당하든 아니든 내각이 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 내각과 그들의 동맹으로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/text","","","",""
"src-en/data/events_morality.xml:66","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/choice/text","계속...","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ZOLTAN_FIGHT""]/choice/text","","","",""
"src-en/data/events_morality.xml:78","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID""]/text","[악명 증가 - 군락]
	당신이 여기서 한 행동은 정당하든 아니든 군락이 좋게 보지 않을 것입니다. 계속 이런 식으로 행동한다면 군락과 그들의 동맹으로부터 부정적인 반응을 보게 될 것입니다.","data/events_morality.xml$/FTL/event[@name=""MORALITY_UPDATE_ORCHID""]/text","","","",""
