"location","source","target","ID","fuzzy","context","translator_comments","developer_comments"
"src-en/data/events_trapper.xml:18","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/text","엔지는 구역의 보안을 매우 중요하게 생각합니다. 따라서 여기 있는 기뢰함의 목적은 의심의 여지가 없습니다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/text","","","",""
"src-en/data/events_trapper.xml:21","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/text","공격! 저 함선의 기뢰 사출기를 훔치자!","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/text","","","",""
"src-en/data/events_trapper.xml:23","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/text","당신은 기뢰함과 싸우는 위험한 결정을 내렸습니다. 당신이 저 함선의 포격으로부터 충분히 오래 자신을 지킬 수 있기를 바랍니다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/text","","","",""
"src-en/data/events_trapper.xml:26","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/choice/text","계속...","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_trapper.xml:32","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/text","기뢰함을 피한다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/text","","","",""
"src-en/data/events_trapper.xml:34","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/text","기뢰함과 엮이는건 좋은 생각이 아닙니다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/text","","","",""
"src-en/data/events_trapper.xml:36","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[1]/text","함선에서 무언가를 한다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_trapper.xml:40","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[2]/text","아무것도 하지 않는다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_ENGI""]/choice[2]/event/choice[2]/text","","","",""
"src-en/data/events_trapper.xml:63","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/text","송신소에 도착하자마자 함선에 기뢰가 날라왔고 당신은 간신히 제시간 안에 그 기뢰를 피할 수 있었습니다. 멀리서 성난 분리주의자가 나타나 소리를 질렀습니다. ""[너] 망할 연방은 다신 안된다! 내 스타필드에서 -나가-! 내가 [거기]까지 가게 하지 말아라!""","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/text","","","",""
"src-en/data/events_trapper.xml:66","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/text","공격! 저 함선의 기뢰 사출기를 훔치자!","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/text","","","",""
"src-en/data/events_trapper.xml:68","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/event/text","당신은 기뢰함과 싸우는 위험한 결정을 내렸습니다. 당신이 저 함선의 포격으로부터 충분히 오래 자신을 지킬 수 있기를 바랍니다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/event/text","","","",""
"src-en/data/events_trapper.xml:71","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/event/choice/text","계속...","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[1]/event/choice/text","","","",""
"src-en/data/events_trapper.xml:77","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/text","기뢰함을 피한다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/text","","","",""
"src-en/data/events_trapper.xml:79","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/event/text","기뢰함과 엮이는건 좋은 생각이 아닙니다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/event/text","","","",""
"src-en/data/events_trapper.xml:81","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/event/choice[1]/text","함선에서 무언가를 한다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/event/choice[1]/text","","","",""
"src-en/data/events_trapper.xml:85","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/event/choice[2]/text","아무것도 하지 않는다.","data/events_trapper.xml$/FTL/event[@name=""TRAPPER_SEPARATIST""]/choice[2]/event/choice[2]/text","","","",""
